outfit_name,category,subcategory,size,body_shape,color,image_path,style,gendered,brand,item_link
simple star scarf mustard,accessory,scarf, , ,yellow,images/accessory/78.png,casual,neutral,,
leopard pattern hair scarf,accessory,scard, , ,white,images/accessory/79.png,casual,feminine,,
knit white scarf,accessory,scarf, , ,white,images/accessory/80.png,casual,neutral,,
shirring short sleeve t-shirt,top,shirt,small,inverted triangle,grey,images/top/21.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E467046-000?colorCode=COL02&sizeCode=SMA003
halter neck bra sleeveless top,top,shirt,small,hourglass,beige,images/top/22.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E470939-000?colorCode=COL11&sizeCode=SMA003
3d knit cotton long sleeve crew neck sweater,top,sweater,medium,hourglass,off-white,images/top/23.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E461090-000?colorCode=COL01&sizeCode=SMA003
crew neck short sleeve t-shirt,top,shirt,medium,hourglass,beige,images/top/24.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E424873-000?colorCode=COL52&sizeCode=SMA003
linen blend open collar short sleeve shirt,top,shirt,medium,rectangle-shaped,beige,images/top/25.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E464739-000?colorCode=COL09&sizeCode=SMA002
ribbed high neck half sleeve t-shirt,top,shirt,medium,rectangle-shaped,grey,images/top/29.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E467045-000?colorCode=COL07&sizeCode=SMA003
airism cotton cropped bra tube top,top,shirt,small,inverted triangle,white,images/top/30.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E464437-000?colorCode=COL09&sizeCode=SMA003
airism cotton boat neck bra camisole,top,shirt,small,inverted triangle,white,images/top/31.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E468736-000?colorCode=COL02&sizeCode=SMA003
sweat pullover long sleeve hoodie,top,hoodie,large,rectangle-shaped,grey,images/top/32.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E444967-000?colorCode=COL05&sizeCode=SMA004
Sweat Long Sleeve Full-Zip Hoodie,top,hoodie,large,rectangle-shaped,grey,images/top/33.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E460324-000?colorCode=COL05&sizeCode=SMA005
3D Knit Cotton Long Sleeve Crew Neck Sweater,top,sweater,medium,hourglass,blue,images/top/34.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E466846-000?colorCode=COL56&sizeCode=SMA003
Linen Blend Volume Short Sleeve Blouse,top,blouse,small,inverted triangle,blue,images/top/35.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E466432-000?colorCode=COL60&sizeCode=SMA003
Linen Blend Open Collar Short Sleeve Shirt,top,shirt,large,hourglass,pink,images/top/36.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E467173-001?colorCode=COL11&sizeCode=SMA002
Linen Blend Open Collar Short Sleeve Shirt,top,shirt,large,hourglass,blue,images/top/37.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E467173-000?colorCode=COL68&sizeCode=SMA002
Rayon Short Sleeve Blouse,top,shirt,large,inverted triangle,grey,images/top/38.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E464721-000?colorCode=COL71&sizeCode=SMA003
Linen Blend Sleeveless Blouse,top,blouse,small,inverted triangle,pink,images/top/39.png,formal,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E470793-000?colorCode=COL12&sizeCode=SMA003
Linen Blend Band Collar Sleeve Shirt,top,shirt,large,inverted triangle,purple,images/top/40.png,formal,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E464735-000?colorCode=COL09&sizeCode=SMA002
Crew Neck Short Sleeve Sweater,top,sweater,medium,hourglass,white,images/top/41.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E466969-000?colorCode=COL46&sizeCode=SMA004
Rayon Long Sleeve Blouse,top,blouse,small,inverted triangle,pink,images/top/42.png,formal,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E433604-000?colorCode=COL09&sizeCode=SMA004
Rayon Printed Short Sleeve Blouse,top,blouse,large,inverted triangle,white,images/top/43.png,formal,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E464722-000?colorCode=COL51&sizeCode=SMA003
Premium Linen Long Sleeve Shirt,top,shirt,large,inverted triangle,beige,images/top/44.png,formal,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E464732-000?colorCode=COL11&sizeCode=SMA003
Linen Blend Open Collar Short Sleeve Shirt,top,shirt,medium,inverted triangle,beige,images/top/45.png,formal,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E464739-000?colorCode=COL12&sizeCode=SMA002
AIRism Cotton Sleeveless Striped T-Shirt,top,shirt,medium,rectangle-shaped,grey,images/top/46.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E470934-000?colorCode=COL01&sizeCode=SMA004
AIRism Cotton Sleeveless T-Shirt,top,shirt,medium,inverted triangle,grey,images/top/47.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E457517-000?colorCode=COL11&sizeCode=SMA004
AIRism Cotton Relaxed Fit Half Sleeve T-Shirt,top,shirt,large,inverted triangle,grey,images/top/48.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E467134-000?colorCode=COL36&sizeCode=SMA004
AIRism Cotton Crew Neck Long Sleeve T-Shirt,top,sweater,medium,inverted triangle,grey,images/top/49.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E465193-000?colorCode=COL30&sizeCode=SMA004
DRY-EX Crew Neck Short Sleeve T-Shirt,top,shirt,large,inverted triangle,grey,images/top/50.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E467543-000?colorCode=COL69&sizeCode=SMA003
DRY-EX Crew Neck Short Sleeve T-shirt (Light),top,shirt,medium,inverted triangle,gray,images/top/51.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E467544-000?colorCode=COL56&sizeCode=SMA004
DRY-EX Crew Neck Short Sleeve T-Shirt,top,shirt,small,inverted triangle,black,images/top/52.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E465191-000?colorCode=COL72&sizeCode=SMA004
Dry Color Ribbed Tank Top,top,shirt,small,inverted triangle,gray,images/top/53.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E444998-000?colorCode=COL09&sizeCode=SMA004
Dry Pique Short Sleeve T-Shirt,top,shirt,large,inverted triangle,off-white,images/top/54.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E469054-000?colorCode=COL69&sizeCode=SMA004
Graphic Short Sleeve T-Shirt,top,shirt,large,rectangle-shaped,white,images/top/55.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E467104-000?colorCode=COL14&sizeCode=SMA004
Dry Color Crew Neck Short Sleeve T-Shirt,top,shirt,large,rectangle-shaped,gray,images/top/56.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E465836-000?colorCode=COL03&sizeCode=SMA007
RF Short Sleeve Graphic T-Shirt,top,shirt,medium,inverted triangle,violet,images/top/57.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E459254-000?colorCode=COL76&sizeCode=SMA003
Oversized Striped Half Sleeve T-Shirt,top,shirt,large,inverted triangle,gray,images/top/58.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E457930-000?colorCode=COL69&sizeCode=SMA004
Oversized Striped Half Sleeve T-Shirt,top,shirt,large,rectangle-shaped,black,images/top/59.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E455414-000?colorCode=COL69&sizeCode=SMA004
Cotton Crew Neck Short Sleeve T-Shirt,top,shirt,medium,rectangle-shaped,beige,images/top/60.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E455365-001?colorCode=COL31&sizeCode=SMA004
Cotton Crew Neck Short Sleeve T-Shirt,top,shirt,small,inverted triangle,green,images/top/61.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E455365-000?colorCode=COL62&sizeCode=SMA004
Crew Neck Short Sleeve T-Shirt,top,shirt,large,inverted triangle,pink,images/top/62.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E422992-000?colorCode=COL62&sizeCode=SMA004
Cotton Striped Oversized Crew Neck T-Shirt,top,shirt,large,inverted triangle,beige,images/top/63.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E461914-000?colorCode=COL31&sizeCode=SMA004
Cotton Oversized Crew Neck T-Shirt,top,shirt,large,inverted triangle,beige,images/top/64.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E465185-000?colorCode=COL52&sizeCode=SMA003
Oversized Half Sleeve T-Shirt,top,shirt,medium,inverted triangle,beige,images/top/65.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E466874-000?colorCode=COL72&sizeCode=SMA003
Oversized Striped Crew Neck Half Sleeve T-Shirt,top,shirt,medium,inverted triangle,gray,images/top/68.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E465492-000?colorCode=COL69&sizeCode=SMA003
Dry Color V Neck Short Sleeve T-Shirt,top,shirt,small,inverted triangle,green,images/top/69.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E465188-000?colorCode=COL62&sizeCode=SMA004
DRY-EX Half-Zip UV Protection Long Sleeve T-Shirt,top,sweater,medium,inverted triangle,blue,images/top/70.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E472019-000?colorCode=COL00&sizeCode=SMA003
AIRism Cotton Easy Shorts,bottom,short,small,inverted triangle,gray,images/bottom/46.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E464823-000?colorCode=COL69&sizeCode=SMA004
Cotton Relaxed Ankle Pants,bottom,pants,medium,inverted triangle,khaki,images/bottom/47.png,formal,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E466026-000?colorCode=COL69&sizeCode=SMA003
Denim Wide Straight Cargo Pants,bottom,pants,medium,inverted triangle,blue,images/bottom/48.png,streetwear,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E468856-000?colorCode=COL64&sizeCode=SMA003
Ultra Stretch Cropped Leggings Pants,bottom,pants,small,inverted triangle,black,images/bottom/49.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E464834-000?colorCode=COL09&sizeCode=SMA003
Ultra Stretch Cropped Denim Leggings Pants,bottom,pants,small,inverted triangle,blue,images/bottom/50.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E464832-000?colorCode=COL68&sizeCode=SMA003
Ultra Stretch Cropped Leggings Pants,bottom,pants,medium,inverted triangle,gray,images/bottom/51.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E464831-000?colorCode=COL04&sizeCode=SMA003
Ultra Stretch AIRism Straight Wide Pants,bottom,pants,medium,inverted triangle,gray,images/bottom/52.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E468829-000?colorCode=COL31&sizeCode=SMA003
Wide Straight Cargo Pants,bottom,pants,small,inverted triangle,beige,images/bottom/53.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E464887-000?colorCode=COL30&sizeCode=SMA003
Washable Knit Ribbed Pants (Longer Length),bottom,pants,medium,inverted triangle,gray,images/bottom/54.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E463691-000?colorCode=COL30&sizeCode=SMA003
Seersucker Easy Shorts (Gingham Check),bottom,short,medium,inverted triangle,beige,images/bottom/55.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E468918-000?colorCode=COL09&sizeCode=SMA003
Miracle Air Shorts (Pattern),bottom,pants,medium,inverted triangle,gray,images/bottom/56.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E467577-000?colorCode=COL05&sizeCode=SMA004
Parachute Cargo Shorts,bottom,short,small,inverted triangle,beige,images/bottom/57.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E467159-000?colorCode=COL31&sizeCode=SMA004
Cotton Easy Shorts,bottom,short,small,inverted triangle,beige,images/bottom/58.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E467052-000?colorCode=COL34&sizeCode=SMA003
High Rise Baggy Denim Shorts,bottom,short,small,inverted triangle,blue,images/bottom/59.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E464945-001?colorCode=COL63&sizeCode=INS023
High Rise Baggy Denim Shorts,bottom,short,medium,inverted triangle,blue,images/bottom/60.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E464945-000?colorCode=COL65&sizeCode=INS023
Smart Skort,bottom,skirt,small,inverted triangle,blue,images/bottom/61.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E464914-000?colorCode=COL09&sizeCode=SMA003
Linen Blend Skort (Printed),bottom,skirt,medium,inverted triangle,yellow,images/bottom/62.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E464847-000?colorCode=COL09&sizeCode=SMA003
Pleated Shorts,bottom,short,small,inverted triangle,gray,images/bottom/63.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E464842-000?colorCode=COL05&sizeCode=SMA003
Linen Cotton Shorts,bottom,short,medium,inverted triangle,khaki,images/bottom/64.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E464837-000?colorCode=COL56&sizeCode=SMA003
Cargo Shorts,bottom,short,medium,inverted triangle,khaki,images/bottom/65.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E463886-000?colorCode=COL33&sizeCode=SMA004
Geared Shorts,bottom,short,small,inverted triangle,green,images/bottom/66.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E463870-000?colorCode=COL57&sizeCode=SMA004
Smart Ankle Pants,bottom,pants,small,hourglass,gray,images/bottom/67.png,formal,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E450606-000?colorCode=COL31&sizeCode=SMA003
Drapey Denim Pleated Pants,bottom,pants,medium,inverted triangle,blue,images/bottom/68.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E468849-000?colorCode=COL31&sizeCode=SMA003
Stretch Slim Ankle Jeans,bottom,jeans,small,inverted triangle,blue,images/bottom/69.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E468844-000?colorCode=COL63&sizeCode=INS023
Wide Straight Jeans,bottom,jeans,medium,inverted triangle,gray,images/bottom/70.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E468841-000?colorCode=COL05&sizeCode=INS023
Cotton Relaxed Ankle Pants (Denim),bottom,pants,medium,inverted triangle,blue,images/bottom/73.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E461420-000?colorCode=COL68&sizeCode=SMA004
Ultra Stretch DRY-EX Shorts,bottom,short,small,inverted triangle,blue,images/bottom/74.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E470848-000?colorCode=COL03&sizeCode=SMA003
utility short blouson,outerwear,coat,small,inverted triangle,khaki,images/outerwear/32.png,streetwear,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E459592-000?colorCode=COL30&sizeCode=SMA004
comfort jacket,outerwear,coat,large,rectangle,gray,images/outerwear/31.png,formal,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E470050-000?colorCode=COL08&sizeCode=SMA003
comfort jacket,outerwear,coat,large,rectangle,gray,images/outerwear/30.png,formal,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E472462-000?colorCode=COL07&sizeCode=SMA003
cotton jacket,outerwear,jacket,large,rectangle,blue,images/outerwear/29.png,classic,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E467024-000?colorCode=COL68&sizeCode=SMA004
Miracle Air Shirt Jacket (Wool Like),outerwear,coat,medium,rectangle,blue,images/outerwear/28.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E470993-000?colorCode=COL69&sizeCode=SMA004
Miracle Air Jacket (AirSense) (Wool Like),outerwear,coat,medium,inverted triangle,gray,images/outerwear/27.png,formal,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E468671-000?colorCode=COL05&sizeCode=SMA004
Miracle Air Jacket (Wool Like),outerwear,coat,medium,inverted triangle,blue,images/outerwear/26.png,formal,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E467537-000?colorCode=COL69&sizeCode=SMA004
Miracle Air Jacket (AirSense) (Cotton Like),outerwear,coat,small,inverted triangle,beige,images/outerwear/25.png,formal,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E444557-000?colorCode=COL32&sizeCode=SMA004
Miracle Air Jacket (AirSense) (Wool Like),outerwear,coat,medium,rectangle,gray,images/outerwear/24.png,formal,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E448034-000?colorCode=COL05&sizeCode=SMA004
Ultra Stretch Active Shorts,bottom,short,medium,hourglass,blue,images/bottom/75.png,athleisure,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E470722-000?colorCode=COL69&sizeCode=SMA004
Chino Shorts (Relaxed Fit),bottom,short,small,hourglass,khaki,images/bottom/76.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E470482-000?colorCode=COL00&sizeCode=SMA004
Miracle Air Shorts (Pattern),bottom,short,small,rectangle-shaped,gray,images/bottom/77.png,formal,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E467577-000?colorCode=COL05&sizeCode=SMA004
Ultra Stretch DRY-EX Shorts,bottom,short,medium,inverted triangle,gray,images/bottom/79.png,streetwear,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E465207-000?colorCode=COL67&sizeCode=SMA004
Nylon Jogger Pants,bottom,pants,small,rectangle-shaped,gray,images/bottom/80.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E467216-000?colorCode=COL03&sizeCode=SMA003
Ultra Stretch DRY-EX Jogger Pants,bottom,pants,small,inverted triangle,gray,images/bottom/81.png,streetwear,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E465206-000?colorCode=COL67&sizeCode=SMA004
Wide Fit Denim Cargo Pants,bottom,pants,medium,inverted triangle,blue,images/bottom/83.png,streetwear,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E471600-000?colorCode=COL08&sizeCode=SMA004
Linen Blend Relaxed Pants,bottom,pants,small,hourglass,blue,images/bottom/84.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E463977-001?colorCode=COL68&sizeCode=SMA004
Linen Blend Relaxed Pants,bottom,pants,large,hourglass,gray,images/bottom/85.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E463977-000?colorCode=COL67&sizeCode=SMA004
Linen Blend Relaxed Pants,bottom,pants,medium,inverted triangle,beige,images/bottom/86.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E463857-000?colorCode=COL32&sizeCode=SMA004
Ultra Stretch DRY-EX Tapered Pants,bottom,pants,small,inverted triangle,gray,images/bottom/87.png,formal,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E465491-000?colorCode=COL69&sizeCode=SMA004
Sweat Pants,bottom,pants,medium,hourglass,white,images/bottom/88.png,formal,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E451648-000?colorCode=COL09&sizeCode=SMA004
Ultra Stretch DRY Shorts,bottom,short,large,rectangle-shaped,blue,images/bottom/89.png,streetwear,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E472022-000?colorCode=COL09&sizeCode=SMA003
Utility Work Shorts,bottom,short,medium,inverted triangle,white,images/bottom/90.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E467050-000?colorCode=COL56&sizeCode=SMA004
Ultra Stretch Jeans (Damaged),bottom,jeans,medium,inverted triangle,blue,images/bottom/91.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E468970-000?colorCode=COL63&sizeCode=INS029
Ultra Stretch Jeans,bottom,jeans,medium,inverted triangle,blue,images/bottom/92.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E468971-000?colorCode=COL65&sizeCode=INS029
Ultra Stretch Jeans,bottom,jeans,small,rectangle-shaped,black,images/bottom/93.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E450242-000?colorCode=COL68&sizeCode=INS029
Slim Fit Jeans (Damaged),bottom,jeans,medium,rectangle-shaped,blue,images/bottom/94.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E463907-000?colorCode=COL62&sizeCode=INS029
Wide Fit Jeans,bottom,jeans,medium,inverted triangle,purple,images/bottom/95.png,casual,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E463915-000?colorCode=COL72&sizeCode=INS030
ultra light down jacket,outerwear,jacket,small,inverted triangle,blue,images/outerwear/33.png,streetwear,masculine,uniqlo,https://www.uniqlo.com/ph/en/products/E459619-000?colorCode=COL69&sizeCode=SMA003
ultra strecth dry-ex full-zip hoodie,outerwear,hoodie,large,hourglass,black,images/outerwear/34.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E465203-000?colorCode=COL54&sizeCode=SMA004
reversible parka,outerwear,jacket,medium,apple-shaped,purple,images/outerwear/35.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E465471-000?colorCode=COL30&sizeCode=SMA003
cotton blend parka,outerwear,jacket,meidium,apple-shaped,black,images/outerwear/36.png,streetwear,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E465467-000?colorCode=COL09&sizeCode=SMA003x`
pocketable UV protection parka,outerwear,jacket,large,rectangle-shaped,pink,images/outerwear/37.png,streetwear,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E465466-000?colorCode=COL02&sizeCode=SMA003
airism mesh uv protection full-zip hoodie,outerwear,hoodie,large,inverted triangle,gray,images/outerwear/38.png,casual,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E456261-000?colorCode=COL03&sizeCode=SMA003
jersey relaxed jacket,outerwear,jacket,small,oval-shaped,beige,images/outerwear/38.png,casual,femine,uniqlo,https://www.uniqlo.com/ph/en/products/E465469-000?colorCode=COL31&sizeCode=SMA003
miracle air jacket,outerwear,jacket,medium,inverted triangle,beige,images/outerwear/39.png,preppy,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E465474-000?colorCode=COL09&sizeCode=SMA003
volume sleeve cocoon blouson,outerwear,longsleeve,large,inverted triangle,white,images/outerwear/40.png,formal,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E467012-000?colorCode=COL01&sizeCode=SMA004
linen cotton coverall,outerwear,longsleeve,medium,apple-shaped,blue,images/outerwear/41.png,streetwear,feminine,uniqlo,https://www.uniqlo.com/ph/en/products/E470474-000?colorCode=COL60&sizeCode=SMA004
denim coverall,outerwear,jacket,small,oval-shaped,blue,images/outerwear/43.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E467117-000?colorCode=COL69&sizeCode=SMA004
cotton blend parka,outerwear,jacket,large,interved triangle,pink,images/outerwear/45.png,casual,neutral,uniqlo,https://www.uniqlo.com/ph/en/products/E469774-000?colorCode=COL12&sizeCode=SMA002